no;id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
518;3611529;Benviar-Embassy Suite 6BRoom Duplex(500sqm)Chitlom;17499526;Benjamin;Parthum Wan;1.374.047;10.054.568;Entire home/apt;24536;1;126;13/12/2022;1.25;7;298;14
519;4152520;Good Day 6 Bunk Beds Dorm room A;7472382;Chatri;Ratchathewi;1.375.195;10.053.686;Shared room;416;1;50;28/07/2022;0.52;10;365;1
520;3638728;Center of BKK/1Bed/wifi;17942957;Patty;Suanluang;1.374.117;10.060.071;Entire home/apt;1212;7;19;02/11/2022;0.2;1;124;2
521;4153487;☑Green and Quiet Heart of Bangkok King Bed;8214044;Evan From Sanctuary House;Sathon;1.372.073;1.005.469;Entire home/apt;1157;1;280;13/11/2022;2.84;8;351;12
522;4695837;1 Bedroom near BTS Ari (Cozy, Relaxed Style);24040466;Art;Phaya Thai;1.378.662;10.055.299;Private room;1490;60;5;25/01/2020;0.05;2;179;0
523;4863676;J. No 14 Amazing Antique B&B_4;24218787;Pannipa;Khlong San;1.372.375;10.050.404;Private room;1500;1;92;12/01/2019;0.96;9;361;0
524;4863748;J. No 14 Amazing Antnque B&B_10;24218787;Pannipa;Khlong San;1.372.213;10.050.201;Private room;1800;1;93;09/08/2019;0.97;9;361;0
525;4863919;J. No 14 Amazing Antique B&B_8;24218787;Pannipa;Khlong San;1.372.236;10.050.368;Private room;1500;1;311;30/07/2022;3.23;9;357;2
526;4158983;Wonderful condo at best complex;15076921;Walter;Khlong San;137.198;10.051.101;Entire home/apt;3809;30;3;31/10/2015;0.03;1;57;0
527;4864132;J. No 14 Amazing Antique B&B_9;24218787;Pannipa;Khlong San;1.372.388;10.050.361;Private room;1800;1;106;11/12/2022;1.11;9;355;1
528;4869033;83sqm apartment by Airport Link;24879998;FRC Rental;Suanluang;1.373.688;10.064.723;Entire home/apt;2200;30;0;;;2;364;0
529;4178179;Donmuang ,J. Thomson Style  House;21674750;Pierre;Sai Mai;1.392.239;10.064.996;Entire home/apt;3117;1;0;;;1;365;0
530;4184143;HI-RISE,1BR52sqm.River view75/30MbpsWIFI,ICON SIAM;21299341;Kittima;Khlong San;1.371.166;10.050.196;Entire home/apt;1136;20;91;12/12/2022;0.92;1;350;6
531;4696346;Nice room;23756033;Kwan;Din Daeng;1.377.588;10.056.033;Private room;700;1;0;;;2;179;0
532;4696364;GARDEN VIEW STUDIO near BTS Ari;24040466;Art;Phaya Thai;1.378.689;1.005.475;Private room;1188;30;0;;;2;145;0
533;4876321;Standard double @ The Oasis Hostel;25086299;Peetat;Phra Nakhon;1.376.152;10.050.037;Private room;700;1;30;18/03/2017;0.31;5;1;0
534;4711365;Duplex @ BTS/Central - Nomad and Getaway friendly;10289027;Erik;Parthum Wan;1.373.924;10.054.015;Entire home/apt;2995;2;153;02/12/2022;1.56;5;73;10
535;4882209;Baan Waan La Moon rm1 DBL 3.5*4.5;24898195;Baan Waan La Moon;Bangkok Noi;1.375.459;10.048.451;Private room;890;2;4;12/01/2017;0.04;4;365;0
536;4188313;2 br in center, close to MRT;18892053;Suphapong;Sathon;1.372.091;10.054.255;Entire home/apt;3500;7;0;;;1;365;0
537;4882226;Baan Waan La Moon rm4 SGL 2.8*3.4;24898195;Baan Waan La Moon;Bangkok Noi;1.375.534;10.048.639;Private room;590;2;6;28/02/2017;0.06;4;362;0
538;4891424;Aloft Studio 03 (at On Nut);10477079;Heide Emigre;Phra Khanong;1.370.383;10.060.275;Entire home/apt;2300;30;33;05/12/2022;0.35;3;348;1
539;4899294;T House Family. Your home in Bangkok.;25216821;Bunjerd_Tom;Min Buri;1.379.228;10.077.675;Entire home/apt;1558;2;48;18/12/2022;0.61;2;350;6
540;4191911;Standard room with balcony;8102534;โกมลเรสซิเดนซ์;Bang Phlat;1.378.733;10.047.119;Entire home/apt;650;1;1;14/11/2019;0.03;2;364;0
541;4913247;#302: Private balcony room on 3rd fl. (with cats!);24613799;Mooncome Homestay;Phaya Thai;1.377.487;10.054.654;Private room;1401;1;204;17/12/2022;2.12;5;168;4
542;4206398;Clean cozy near BTSChidlom and Siam;21493585;Gee;Parthum Wan;1.374.371;10.054.369;Private room;1943;1;7;30/10/2022;0.07;2;365;1
543;4218505;ไซมิส จอย;21750446;Sumalee;Vadhana;1.374.339;10.056.985;Private room;1943;2;2;17/11/2017;0.03;3;185;0
544;4720818;;24386225;Cherry;Din Daeng;1.377.562;10.057.346;Private room;1200;1;0;;;1;365;0
545;4722388;Cozy studio in Sukhumvit near BTS;12594274;Unn;Khlong Toei;1.370.837;10.059.748;Entire home/apt;650;28;40;30/07/2022;0.43;2;316;3
546;4917909;Nice and cozy stay feel like HOME!;25042230;Chalinee;Chom Thong;1.367.202;10.045.667;Private room;700;60;2;18/01/2016;0.02;1;365;0
547;4730950;Metro Park, The Lake Condominium;24430241;Kate;Phasi Charoen;1.371.021;1.004.498;Private room;1200;1;0;;;2;330;0
548;4928854;❉❉The Perfect Quiet Oasis in BKK Center Near MRT❉❉;1927968;Evan;Sathon;137.207;10.054.712;Entire home/apt;750;1;113;02/11/2022;1.17;37;328;8
549;4939738;@Relax MRT Rama 9;4113664;Suchada;Huai Khwang;1.375.662;10.056.633;Entire home/apt;2736;365;9;05/01/2016;0.09;2;365;0
550;4731008;Cozy near  Suvarnabhumi  Airport;24430527;Dhanusaya;Pra Wet;1.369.472;10.064.451;Entire home/apt;1039;1;190;12/12/2022;2.07;1;344;12
551;4753611;Luxury 3 Bedrooms Suite @BTS Phrompong;8444643;Kiattisak;Vadhana;1.373.665;10.056.983;Entire home/apt;9999;2;19;29/05/2017;0.2;53;360;0
552;4220414;convenience to BTS, BITEC;21248776;Niran;Bang Na;1.367.212;10.060.701;Entire home/apt;1300;60;13;23/07/2019;0.14;1;358;0
553;4223808;1Bed Luxury studio-BTS,Wifi;4474838;Sue;Thon buri;137.209;10.049.248;Entire home/apt;1212;28;36;25/12/2022;0.36;5;334;5
554;4943144;Feeling like home BTS Punnawithi;15218917;Mam;Phra Khanong;1.370.234;10.060.602;Entire home/apt;609;30;107;06/11/2022;1.13;2;244;12
555;4754686;1 bed apartment in the heart of the city;24533576;Mali;Khlong Toei;1.373.763;10.055.255;Entire home/apt;1500;3;66;02/12/2022;0.68;1;254;6
556;4756103;1min walk to BTS Onnut and malls;22713979;Anna;Khlong Toei;137.062;10.060.011;Entire home/apt;949;30;63;25/04/2022;0.65;3;300;2
557;4943392;A relax place, HUGE balcony, friendly neighborhood;102811177;Santahn;Phaya Thai;1.378.163;10.054.241;Entire home/apt;2701;60;92;12/01/2019;0.95;5;346;0
558;4760222;3BR Large Full Facility MRT_Samyan;10170452;Narn;Bang Rak;1.373.149;10.052.494;Entire home/apt;2424;1;86;15/05/2018;0.88;15;259;0
559;4950343;Monthly/Yearly @Homeplace MRT RAMA9;4113664;Suchada;Huai Khwang;1.375.611;1.005.658;Entire home/apt;3120;365;3;04/08/2015;0.03;2;363;0
560;4770768;Deluxe Room Decordo Hostel;5171292;Somsak;Khlong San;13.721.097;100.507.729;Private room;830;2;6;10/07/2022;0.06;10;87;1
561;4228023;2 Family Friendly Holiday Homes in Bangkok Center;7626002;Fab & Jaa;Sathon;1.371.247;10.052.265;Entire home/apt;6788;1;166;11/12/2022;1.79;2;313;14
562;4958315;park view vibhavadeeพารค์วิววิภาวดี;24615985;Let It Be;Don Mueang;1.389.077;10.058.304;Private room;500;4;0;;;1;365;0
563;4237812;Clean Cozy Siam/Chidlom 2 min toBTS;15270186;Gee;Parthum Wan;1.374.465;10.054.311;Private room;1986;1;2;15/09/2016;0.02;8;362;0
564;4238670;Modern furnished 1 bedroom flat;21996134;Pritaporn;Bang Kapi;1.374.742;10.060.496;Entire home/apt;658;15;12;11/06/2022;0.13;1;306;4
565;4244264;❤City Center Studio, Easy Walk To Pier+BTS Taksin❤;3346331;Bee;Sathon;1.371.228;10.051.328;Entire home/apt;827;2;295;19/12/2022;2.96;7;314;13
566;4771693;#301: Private Balcony Room on 3rd fl (with cats!);24613799;Mooncome Homestay;Phaya Thai;137.747;10.054.671;Private room;1490;1;192;25/12/2022;1.97;5;159;11
567;4773429;Travel in Bangkok by boat;596569;Juit;Bang Phlat;1.376.669;10.048.851;Entire home/apt;2078;1;0;;;1;365;0
568;4964691;1BR Ari & Saphan Khwai - Wifi/Pool;24234328;Natthapol;Phaya Thai;1.378.667;10.054.787;Entire home/apt;800;28;49;16/11/2022;0.51;4;271;7
569;4779295;A Perfect Place to Stay!;24646274;Apple;Khlong Toei;1.370.824;10.059.931;Entire home/apt;806;1;106;28/09/2022;1.09;2;271;5
570;4978939;Pratunam 2BR condo in Ratchaprarop;14363728;Mun;Ratchathewi;137.556;10.054.342;Entire home/apt;1657;90;31;26/01/2020;0.38;3;364;0
571;4783950;Clean cozy near BTSChidlom and Siam;15270186;Gee;Parthum Wan;1.374.459;10.054.308;Private room;1700;1;3;05/11/2022;0.04;8;362;1
572;4245018;;22030043;Parichart;Bang Phlat;1.378.376;10.049.821;Private room;1200;1;0;;;1;365;0
573;4979215;Private Room at Siammitr Hostel;20451346;Ple;Bang Rak;1.372.172;10.052.309;Private room;1200;1;21;30/12/2019;0.24;3;359;0
574;4998690;1 bedroom + roof top swimming pool;1870292;Phutthiphat;Bang Rak;137.245;10.053.399;Private room;1643;29;1;05/04/2015;0.01;1;364;0
575;4248474;Feel Like Home Condo Sukhumvit 105;22046309;Ponpisit;Bang Na;1.365.931;10.063.065;Entire home/apt;400;2;51;08/09/2022;1.29;1;81;16
576;4786588;Charming 2BR/2BA, 5mins walk to BTS;24675031;Malisa;Khlong Toei;1.370.939;10.059.791;Entire home/apt;1529;21;171;22/11/2022;1.76;1;131;6
577;4787354;Town Home Modern (Near Airport);24678851;ART | Thanathus;Lat Krabang;137.217;10.071.567;Entire home/apt;1329;60;1;28/01/2015;0.01;1;358;0
578;4999454;6 Bed Mixed Dorm at Sukhumvit area;22869250;Eve;Khlong Toei;1.372.034;10.057.242;Shared room;510;1;3;07/04/2018;0.03;7;0;0
579;4788218;Deluxe Room;5171292;Somsak;Khlong San;1.372.145;10.050.824;Private room;850;2;9;20/12/2019;0.09;10;362;0
580;4788620;Standard Room;5171292;Somsak;Khlong San;13.721.129;100.507.797;Private room;643;2;4;27/09/2016;0.04;10;87;0
581;4252589;Q Asoke Condo Luxury One-Bedroom, Near BTS/MRT;22068913;Ongarj;Ratchathewi;1.374.859;10.056.293;Entire home/apt;1300;30;0;;;1;363;0
582;5005532;TownHome edge of old Bangkok;25637889;Nontwach;Bangkok Noi;1.378.041;10.046.857;Entire home/apt;3463;1;0;;;1;0;0
583;4252695;Modern/Cozy 1BR Apt downtown BKK;22069649;Tanapati;Vadhana;1.374.387;10.057.068;Entire home/apt;2390;1;5;05/05/2015;0.05;1;179;0
584;4264452;Bright studio - 7 min BTS S'Taksin;2129668;Wimonpak;Sathon;1.371.349;10.051.437;Entire home/apt;850;200;79;25/12/2019;0.79;41;365;0
585;4790120;An empty room for budget travellers;24690333;Natapol;Sathon;1.371.498;10.051.263;Private room;399;1;0;;;1;365;0
586;4794241;Modern 1BD with pool-great location;1780407;Feb;Khlong Toei;1.371.418;10.059.224;Entire home/apt;990;30;27;02/11/2022;0.29;6;273;4
587;4795607;Cozy clean free wifi at chitlom bts;15270186;Gee;Parthum Wan;1.374.374;100.544;Private room;1729;1;5;12/12/2022;0.05;8;362;2
588;5007513;Studio apartment in Sathorn Bangkok;25825868;Paul;Yan na wa;1.371.803;10.054.987;Entire home/apt;704;90;15;31/03/2020;0.18;1;241;0
589;4810516;2BR condo/BTS On Nut/Wifi/Tesco;6482384;Emmie;Vadhana;1.370.617;10.060.217;Entire home/apt;1534;5;74;18/12/2022;0.78;1;297;14
590;4810683;Oasis of tranquility in a Bangkok suburb.;24777734;Paul;Saphan Sung;1.374.628;10.067.538;Private room;430;5;30;20/10/2017;0.31;6;365;0
591;4265987;New, large & 5 mins walk to bts;22145270;Little;Khlong Toei;1.371.659;10.058.119;Entire home/apt;950;60;27;26/11/2022;0.37;2;301;4
